user_language,q2,q3,q4,q5,q6,q8,q9,q10_1,q10_2,q10_3,q11_1,q11_2,q11_3,q11_4,q12,q13_1,q13_2,q13_3,q13_4,q13_5,q13_6,q13_7,q14_1,q14_2,q14_3,q14_4,q14_5,q15_1,q15_2,q15_3,q15_4,q16_1,q16_2,q16_3,q16_4,q17_1,q17_2,q17_3,q18,q19,q20,q21,q22,q23,q24,q25_1,q25_2,q25_3,q26,q27_1,q27_2,q27_3,q28,q29,q30,q31,q38,q45_1,fl_15_do,tolerant_engagement_forums_invitation_do,federalism_do
EN,Yes,Male,No,Rural,Yes,Amhara Region,Amhara,1,2,3,A few times a month,Less than once a month,Never,Every day,Never,Never,Never,Never,Once or Twice,Never,Never,Never,Never,Never,Once or Twice,More than 5 times,Never,Not a member,Not a member,Not a member,Not a member,Yes,Yes,No,Yes,0,10,10,Somewhat disagree,I agree with B,I agree strongly with A,I agree with neither,I agree strongly with A,I agree strongly with B,Agree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,Civil society (private not-for-profit organizations),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind",I don't know my plans yet,NA,NA,100,Very interested,5,FL_17,Q35,Q40|Q41|Q45
AMH,Yes,Female,Yes,Urban,No,Addis Ababa,Amhara,1,NA,NA,Never,Never,Never,Less than once a month,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Not a member,Not a member,Not a member,Not a member,No,No,No,No,0,10,10,Strongly disagree,I agree with B,I agree strongly with A,I agree with A,I agree strongly with A,I agree strongly with B,Strongly agree,Strongly like,Strongly dislike,Strongly like,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind",I don't know my plans yet,NA,NA,NA,Very interested,5,FL_17,Q34,Q40|Q44|Q45
AFAN_OROMO,Yes,Male,Yes,Urban,Yes,Oromia Region,Oromo,1,3,2,A few times a month,A few times a week,Every day,Every day,A few times a month,More than twice,More than twice,More than twice,Never,Never,Once or Twice,Never,More than 5 times,More than twice,More than twice,More than 5 times,More than 5 times,Active member,Inactive member,Not a member,Active member,NA,NA,No,NA,0,10,10,Strongly disagree,I agree strongly with B,I agree strongly with A,I agree strongly with B,I agree with B,I agree strongly with A,Strongly agree,Strongly like,Strongly like,Strongly like,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,"Job opportunities,Other educational opportunities",6,Very interested,4,FL_17,Q35,Q40|Q43|Q45
EN,Yes,Male,No,Urban,Yes,Addis Ababa,Amhara,1,2,3,A few times a week,A few times a week,Every day,Every day,Never,Never,Never,Never,Once or Twice,Once or Twice,More than 5 times,Never,Once or Twice,Never,Once or Twice,Never,Once or Twice,Not a member,Not a member,Not a member,Not a member,No,No,No,No,1,10,7,Strongly disagree,I agree with B,I agree strongly with A,I agree with B,I agree strongly with A,I agree with B,Neither agree nor disagree,Strongly like,Neither like nor dislike,Neither like nor dislike,"Public sector or civil service (ex. public university, government ministry)","No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind",I don't know my plans yet,NA,NA,6,Very interested,8,FL_18,Q35,Q40|Q41|Q45
EN,Yes,Male,No,Urban,Yes,Somali Region,Oromo,3,2,1,Never,A few times a week,Every day,Every day,Less than once a month,Never,More than twice,Once or Twice,Never,Once or Twice,Never,Never,Never,Never,Never,Once or Twice,Never,Active member,Not a member,Not a member,Active member,NA,Yes,Yes,NA,2,9,10,Strongly disagree,I agree strongly with B,I agree with A,I agree with A,I agree with A,I agree strongly with A,Agree,Strongly like,Somewhat like,Somewhat like,Civil society (private not-for-profit organizations),"Yes, it has crossed my mind","Yes, it has crossed my mind","Yes, it has crossed my mind","Yes, I plan to move back to my home region","Job opportunities,Other",NA,7,Very interested,2,FL_17,Q37,Q40|Q43|Q45
EN,Yes,Female,No,Urban,Yes,Addis Ababa,Oromo,1,NA,NA,A few times a week,NA,Every day,NA,Every day,Never,Never,Never,Never,Never,Never,Never,Never,NA,NA,NA,Once or Twice,Official leader,Official leader,Official leader,Official leader,NA,NA,NA,NA,NA,10,NA,Strongly disagree,I agree strongly with B,I agree strongly with A,I agree strongly with B,I agree strongly with A,I agree strongly with A,Strongly disagree,Strongly like,Strongly like,Strongly like,"Public sector or civil service (ex. public university, government ministry)","No, I have not thought about it","No, I have not thought about it","Yes, it has crossed my mind",I don't know my plans yet,NA,NA,10,Very interested,7,FL_18,Q35,Q40|Q42|Q45
EN,Yes,Female,Yes,Urban,Yes,Addis Ababa,"Amhara,Guragie",1,2,3,Every day,A few times a week,Never,A few times a week,Never,Never,Never,Never,Once or Twice,Never,Never,Never,More than 10 times,Never,Never,More than 10 times,More than 10 times,Not a member,Not a member,Not a member,Not a member,Yes,No,No,Yes,0,10,7,Strongly disagree,I agree with neither,I agree with B,I agree with B,I agree with B,I agree strongly with B,Strongly disagree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,I don't know yet,"Yes, it has crossed my mind","No, I have not thought about it","Yes, it has crossed my mind",I don't know my plans yet,NA,NA,10,Very uninterested,6,FL_18,Q36,Q40|Q44|Q45
EN,Yes,Female,No,Urban,Yes,Amhara Region,Amhara,1,2,3,Never,A few times a month,A few times a month,A few times a week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Not a member,Not a member,Not a member,Not a member,No,No,No,No,0,4,4,Strongly disagree,I agree strongly with B,I agree strongly with B,I agree with B,I agree with B,I agree strongly with B,Disagree,Strongly like,Strongly like,Strongly like,Business sector (private for-profit companies),"No, I have not thought about it","No, I have not thought about it","No, I have not thought about it","No, I plan to stay in Addis",NA,Job opportunities,10,Very interested,4,FL_17,Q37,Q40|Q44|Q45
AFAN_OROMO,Yes,Male,Yes,Rural,Yes,Oromia Region,Oromo,NA,NA,1,A few times a week,A few times a week,Every day,Every day,A few times a month,More than 10 times,Never,More than twice,Never,Never,Never,Never,More than 5 times,More than 10 times,More than 10 times,Never,More than 5 times,Active member,Prefer not to say,Not a member,Not a member,NA,No,No,No,0,10,10,Strongly disagree,I agree with A,I agree strongly with A,I agree with B,I agree strongly with A,I agree strongly with A,Neither agree nor disagree,Somewhat like,Strongly like,Strongly like,Business sector (private for-profit companies),"No, I have not thought about it","No, I have not thought about it",NA,"No, I plan to stay in Addis",NA,Job opportunities,10,Very interested,5,FL_18,Q36,Q40|Q43|Q45
EN,Yes,Male,Yes,Rural,No,Oromia Region,Oromo,3,NA,NA,Less than once a month,Less than once a month,Every day,A few times a week,A few times a week,More than twice,Never,Once or Twice,Once or Twice,Never,Never,Never,More than twice,Never,Never,Once or Twice,Never,Official leader,Active member,Prefer not to say,Not a member,NA,NA,Yes,Yes,5,3,10,Somewhat disagree,I agree strongly with B,I agree with A,I agree strongly with B,I agree strongly with A,I agree strongly with B,Disagree,Strongly like,Somewhat like,Strongly like,"Public sector or civil service (ex. public university, government ministry)","No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,Job opportunities,12,Very interested,5,FL_18,Q36,Q40|Q41|Q45
AMH,Yes,Male,Yes,Rural,Yes,"Southern Nations, Nationalities, and Peoples Region",Kembata,1,2,3,Less than once a month,Every day,A few times a month,Every day,Never,More than twice,Never,Once or Twice,Once or Twice,Never,Never,Never,Never,Never,Never,Once or Twice,Never,Official leader,Official leader,Active member,Active member,NA,NA,NA,NA,4,10,10,Strongly disagree,I agree with B,I agree with A,I agree with A,I agree with A,I agree with neither,Neither agree nor disagree,Strongly like,Neither like nor dislike,Strongly like,Business sector (private for-profit companies),"No, I have not thought about it","No, I have not thought about it","No, I have not thought about it","Yes, I plan to move to another region",Other educational opportunities,NA,10,Very interested,5,FL_17,Q35,Q40|Q42|Q45
EN,Yes,Female,No,Urban,Yes,Oromia Region,"Amhara,Oromo",1,2,3,A few times a week,A few times a month,A few times a week,A few times a week,A few times a month,More than 10 times,Never,More than 5 times,More than 5 times,More than 10 times,More than 5 times,Once or Twice,Once or Twice,Once or Twice,Once or Twice,Never,Never,Active member,Not a member,Not a member,Official leader,NA,No,No,NA,9,9,9,Strongly disagree,I agree strongly with B,I agree strongly with A,I agree with B,I agree with A,I agree strongly with B,Neither agree nor disagree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,Business sector (private for-profit companies),"Yes, it has crossed my mind","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,"Job opportunities,Other educational opportunities",10,Very interested,5,FL_17,Q35,Q40|Q42|Q45
EN,Yes,Male,Yes,Urban,Yes,Addis Ababa,Amhara,3,2,1,A few times a week,Every day,Never,Every day,Never,Never,Never,More than twice,More than 5 times,Never,Never,Never,More than twice,Never,Once or Twice,Once or Twice,Once or Twice,Active member,Not a member,Not a member,Inactive member,NA,No,No,NA,1,10,10,Strongly disagree,I agree strongly with B,I agree with neither,I agree strongly with B,I agree strongly with A,I agree strongly with B,Agree,Somewhat like,Neither like nor dislike,Neither like nor dislike,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,"Job opportunities,Other educational opportunities,Proximity to family",4,Somewhat uninterested,8,FL_18,Q36,Q40|Q41|Q45
EN,Yes,Male,No,Rural,Yes,Amhara Region,Other,1,2,3,A few times a month,Every day,Every day,Every day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,More than 10 times,Never,Inactive member,Not a member,Not a member,Not a member,NA,No,No,Yes,5,8,8,Somewhat disagree,I agree strongly with B,I agree strongly with A,I agree with B,I agree with A,I agree strongly with B,Strongly agree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,Job opportunities,4,Very interested,8,FL_17,Q36,Q40|Q44|Q45
EN,Yes,Male,No,Urban,Yes,Addis Ababa,"Amhara,Oromo",1,2,3,A few times a week,A few times a week,Less than once a month,Every day,A few times a month,Never,Never,Once or Twice,More than twice,Never,Once or Twice,Never,Never,Once or Twice,Never,Once or Twice,More than twice,Not a member,Not a member,Not a member,Not a member,No,No,No,Yes,2,4,5,Strongly disagree,I agree strongly with B,I agree strongly with A,I agree with neither,I agree strongly with A,I agree with B,Neither agree nor disagree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind",I don't know my plans yet,NA,NA,2,Somewhat interested,8,FL_18,Q37,Q40|Q43|Q45
AMH,Yes,Male,No,Urban,Yes,Addis Ababa,Prefer not to say,1,NA,NA,A few times a month,A few times a week,A few times a month,Every day,Never,Never,Never,Once or Twice,Never,Never,Never,Never,Never,Never,Never,Once or Twice,Never,Not a member,Not a member,Not a member,Not a member,No,No,No,No,5,5,10,Strongly disagree,I agree with B,I agree with A,I agree with B,I agree with A,I agree with B,Disagree,Strongly like,Somewhat like,Strongly like,Business sector (private for-profit companies),"No, I have not thought about it","No, I have not thought about it","No, I have not thought about it",I don't know my plans yet,NA,NA,10,Very interested,5,FL_17,Q37,Q40|Q43|Q45
AMH,Yes,Male,Yes,Urban,Yes,Sidama Region,Sidama,1,2,3,A few times a week,Every day,A few times a month,Every day,Never,More than 5 times,Never,Never,Never,Never,Never,Never,More than twice,Never,Never,More than twice,More than 10 times,Not a member,Not a member,Not a member,Active member,No,No,No,NA,5,10,4,Strongly agree,I agree strongly with B,I agree strongly with A,I agree with B,I agree strongly with B,I agree strongly with B,Disagree,Strongly like,Somewhat like,Strongly like,"Public sector or civil service (ex. public university, government ministry)","No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it",I don't know my plans yet,NA,NA,10,Very interested,5,FL_18,Q37,Q40|Q44|Q45
EN,Yes,Male,Yes,Urban,Yes,Oromia Region,Oromo,1,2,3,A few times a week,Less than once a month,A few times a week,A few times a week,Less than once a month,More than twice,More than 5 times,More than 5 times,More than 10 times,Never,Never,Never,More than twice,More than twice,More than twice,More than 10 times,More than 5 times,Active member,Not a member,Not a member,Not a member,NA,No,No,Yes,3,10,8,Somewhat disagree,I agree with B,I agree with A,I agree with B,I agree with A,I agree with A,Neither agree nor disagree,Somewhat dislike,Somewhat dislike,Neither like nor dislike,"Public sector or civil service (ex. public university, government ministry)","No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,"Job opportunities,Other educational opportunities,Proximity to family,Other",10,Very interested,5,FL_18,Q37,Q40|Q41|Q45
AMH,Yes,Female,Yes,Urban,Yes,Addis Ababa,Oromo,1,2,3,Less than once a month,A few times a month,Never,Every day,Never,Never,Never,Never,Never,Never,Once or Twice,Never,Never,More than 10 times,More than 10 times,More than 5 times,Never,Not a member,Not a member,Not a member,Not a member,No,No,No,Yes,0,7,5,Neither agree nor disagree,I agree with neither,I agree strongly with A,I agree with B,I agree strongly with A,I agree with B,Disagree,Strongly like,Neither like nor dislike,Strongly like,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it",I don't know my plans yet,NA,NA,10,Very interested,5,FL_18,Q35,Q40|Q42|Q45
EN,Yes,Female,Yes,Urban,Yes,Harari Region,Amhara,1,3,2,A few times a week,Less than once a month,Every day,Every day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,More than 5 times,More than 10 times,Not a member,Not a member,Not a member,Not a member,No,No,No,No,5,10,10,Strongly disagree,I agree with B,I agree strongly with A,I agree strongly with B,I agree strongly with A,I agree strongly with B,Neither agree nor disagree,Neither like nor dislike,Somewhat like,Neither like nor dislike,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,Job opportunities,7,Very interested,5,FL_17,Q37,Q40|Q41|Q45
